x,y,index,remaining_steps,replans
1,4,43,24,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,4,43,24,[(0, 1), (1, 1), (1, 2), (0, 2), (0, 3), (0, 2), (1, 2), (1, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (4, 4), (4, 3), (4, 2), (5, 2), (5, 1), (5, 0), (5, 1), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (1, 5), (1, 4), (1, 5), (2, 5), (3, 5), (4, 5), (4, 4), (4, 3), (5, 3), (5, 4), (5, 5), (5, 4), (5, 3), (4, 3), (4, 4), (3, 4), (3, 3), (2, 3)]
1,5,44,15,[]
2,5,45,14,[]
3,5,46,13,[]
4,5,47,12,[]
4,4,48,11,[]
4,3,49,10,[]
5,3,50,9,[]
5,4,51,8,[]
5,5,52,7,[]
5,4,53,6,[]
5,3,54,5,[]
4,3,55,4,[]
4,4,56,3,[]
3,4,57,2,[]
3,3,58,1,[]
2,3,59,0,[]
